RVA,label,comment
00001003,___begtext,___begtext
00019B12,CellClass::Unknown,
0003395D,,Load ScrollRate
000342E0,,Save ScrollRate
000576D6,Drawing_Unknown2,
0005B4D6,ScrollClass::Unknown,
0005CC71,SetupSidebarButtons,
0005D0A3,,Left arrow button Y
0005D4AB,SetupSidebarTerrainButtons,
0005D720,Drawing_Unknown,
0005D917,,Sidebar draw tile selection border
0005D93A,,Sidebar draw tile selection background
0005D961,,Sidebar draw selected tile
000604FC,_WinMain,_WinMain
00074278,W?Windows_Procedure$n(pnvuiuil)l,W?Windows_Procedure$n(pnvuiuil)l
00075ED0,fptc,fptc
0007A662,unknown_libname_6,unknown_libname_6
0007A687,strncpy_,strncpy_
0007A6AC,__assert_,__assert_
0007A6CC,__wcpp_2_dtor_array__,__wcpp_2_dtor_array__
0007B21A,"const INIClass::Get_Entry(char *,int)",
0007B29A,"INIClass::Put_UUBlock(char *,void *,int)",
0007B3BE,"const INIClass::Get_UUBlock(char *,void *,int)",
0007B4EA,"INIClass::Put_TextBlock(char *,char *)",
0007B613,"const INIClass::Get_TextBlock(char *,char *,int)",
0007B6F7,"INIClass::Put_Int(char *,char *,int,int)",
0007B7A9,"const INIClass::Get_Int(char *,char *,int)",
0007B87B,"INIClass::Put_Hex(char *,char *,int)",
0007B8D1,"const INIClass::Get_Hex(char *,char *,int)",
0007B945,"INIClass::Put_String(char *,char *,char *)",
0007BAA4,"const INIClass::Get_String(char *,char *,char *,char *,int)",
0007BB68,"INIClass::Put_Bool(char *,char *,int)",
0007BBBC,"const INIClass::Get_Bool(char *,char *,int)",
0007BD38,INIClass::Put_PKey(PKey &),
0007BDB1,const INIClass::Get_PKey(int),
0007CD40,__wcpp_2_module_dtor__,__wcpp_2_module_dtor__
0007CD9C,W?fs_state_table$n(pn$ro_dtreg$$)pn$__7a4u3RO_STATE$$,W?fs_state_table$n(pn$ro_dtreg$$)pn$__7a4u3RO_STATE$$
0007CDA0,W?fs_point_object$n(pn$rw_dtreg$$ui)pnv,W?fs_point_object$n(pn$rw_dtreg$$ui)pnv
0007CDA7,W?fs_init_traverse$n(pn$__1j2o3bSTAB_TRAVERSE$$pn$rw_dtreg$$)v,W?fs_init_traverse$n(pn$__1j2o3bSTAB_TRAVERSE$$pn$rw_dtreg$$)v
0007CDAC,W?init$n()v,W?init$n()v
0007CDB7,__wcpp_2_mod_register__,__wcpp_2_mod_register__
0007DA49,unknown_libname_7,unknown_libname_7
0007DA70,__wcpp_2_dtor_array_store__,__wcpp_2_dtor_array_store__
0007DAC5,_nfree_,_nfree_
0007DB53,pickup_,pickup_
0007DB67,_makepath_,_makepath_
0007F060,nullsub_7,nullsub_7
0007F470,unknown_libname_8,unknown_libname_8
0007F480,unknown_libname_9,unknown_libname_9
0007FA83,stricmp_,stricmp_
000831B0,__wcpp_2_ctor_array__,__wcpp_2_ctor_array__
000831F8,__null_int23_exit_,__null_int23_exit_
000831F9,exit_,exit_
00083211,_exit_,_exit_
00083236,memmove_,memmove_
00083283,strdup_,strdup_
00083777,memcmp_,memcmp_
00083A63,strtok_,strtok_
00083B07,strcat_,strcat_
00085523,memcpy_,memcpy_
00085548,strlen_,strlen_
00085561,strcpy_,strcpy_
00085663,ftime_,ftime_
00087114,W?ls_state_table$n(pn$ro_dtreg$$)pn$__7a4u3RO_STATE$$,W?ls_state_table$n(pn$ro_dtreg$$)pn$__7a4u3RO_STATE$$
00087118,W?ls_point_object$n(pn$rw_dtreg$$ui)pnv,W?ls_point_object$n(pn$rw_dtreg$$ui)pnv
0008711C,W?ls_init_traverse$n(pn$__1j2o3bSTAB_TRAVERSE$$pn$rw_dtreg$$)v,W?ls_init_traverse$n(pn$__1j2o3bSTAB_TRAVERSE$$pn$rw_dtreg$$)v
00087121,W?init$n()v_0,W?init$n()v_0
0008712C,j___wcpp_2_mod_register__,j___wcpp_2_mod_register__
